,filepaths,labels
0,mango_6/Anthracnose\20211008_124249 (Custom).jpg,Anthracnose
1,mango_6/Anthracnose\20211008_124250 (Custom).jpg,Anthracnose
2,mango_6/Anthracnose\20211008_124252 (Custom).jpg,Anthracnose
3,mango_6/Anthracnose\20211008_124253 (Custom).jpg,Anthracnose
4,mango_6/Anthracnose\20211008_124256 (Custom).jpg,Anthracnose
5,mango_6/Anthracnose\20211008_124301 (Custom).jpg,Anthracnose
6,mango_6/Anthracnose\20211008_124302 (Custom).jpg,Anthracnose
7,mango_6/Anthracnose\20211008_124305 (Custom).jpg,Anthracnose
8,mango_6/Anthracnose\20211008_124306 (Custom).jpg,Anthracnose
9,mango_6/Anthracnose\20211008_124310 (Custom).jpg,Anthracnose
10,mango_6/Anthracnose\20211008_124312 (Custom).jpg,Anthracnose
11,mango_6/Anthracnose\20211008_124334 (Custom).jpg,Anthracnose
12,mango_6/Anthracnose\20211008_124336 (Custom).jpg,Anthracnose
13,mango_6/Anthracnose\20211008_124341 (Custom).jpg,Anthracnose
14,mango_6/Anthracnose\20211008_124345 (Custom).jpg,Anthracnose
15,mango_6/Anthracnose\20211008_124457 (Custom).jpg,Anthracnose
16,mango_6/Anthracnose\20211008_124501 (Custom).jpg,Anthracnose
17,mango_6/Anthracnose\20211008_124522 (Custom).jpg,Anthracnose
18,mango_6/Anthracnose\20211008_124524 (Custom).jpg,Anthracnose
19,mango_6/Anthracnose\20211008_124624 (Custom).jpg,Anthracnose
20,mango_6/Anthracnose\20211008_124632 (Custom).jpg,Anthracnose
21,mango_6/Anthracnose\20211008_124907 (Custom).jpg,Anthracnose
22,mango_6/Anthracnose\20211008_124917 (Custom).jpg,Anthracnose
23,mango_6/Anthracnose\20211008_124931 (Custom).jpg,Anthracnose
24,mango_6/Anthracnose\20211008_124933 (Custom).jpg,Anthracnose
25,mango_6/Anthracnose\20211008_125014 (Custom).jpg,Anthracnose
26,mango_6/Anthracnose\20211008_125016 (Custom).jpg,Anthracnose
27,mango_6/Anthracnose\20211008_125052 (Custom).jpg,Anthracnose
28,mango_6/Anthracnose\20211008_125056 (Custom).jpg,Anthracnose
29,mango_6/Anthracnose\20211008_125100 (Custom).jpg,Anthracnose
30,mango_6/Anthracnose\20211008_125102 (Custom).jpg,Anthracnose
31,mango_6/Anthracnose\20211008_125104 (Custom).jpg,Anthracnose
32,mango_6/Anthracnose\20211008_125110 (Custom).jpg,Anthracnose
33,mango_6/Anthracnose\20211008_125112 (Custom).jpg,Anthracnose
34,mango_6/Anthracnose\20211008_125118 (Custom).jpg,Anthracnose
35,mango_6/Anthracnose\20211008_125121 (Custom).jpg,Anthracnose
36,mango_6/Anthracnose\20211008_125124 (Custom).jpg,Anthracnose
37,mango_6/Anthracnose\20211008_125127 (Custom).jpg,Anthracnose
38,mango_6/Anthracnose\20211008_125130 (Custom).jpg,Anthracnose
39,mango_6/Anthracnose\20211008_125132 (Custom).jpg,Anthracnose
40,mango_6/Anthracnose\20211008_125137 (Custom).jpg,Anthracnose
41,mango_6/Anthracnose\20211008_125140 (Custom).jpg,Anthracnose
42,mango_6/Anthracnose\20211008_125146 (Custom).jpg,Anthracnose
43,mango_6/Anthracnose\20211008_125152 (Custom).jpg,Anthracnose
44,mango_6/Anthracnose\20211011_131259 (Custom).jpg,Anthracnose
45,mango_6/Anthracnose\20211011_131304 (Custom).jpg,Anthracnose
46,mango_6/Anthracnose\20211011_133200 (Custom).jpg,Anthracnose
47,mango_6/Anthracnose\20211011_133201 (Custom).jpg,Anthracnose
48,mango_6/Anthracnose\20211011_133203 (Custom).jpg,Anthracnose
49,mango_6/Anthracnose\20211011_133205 (Custom).jpg,Anthracnose
50,mango_6/Anthracnose\20211011_133207 (Custom).jpg,Anthracnose
51,mango_6/Anthracnose\20211011_133406 (Custom).jpg,Anthracnose
52,mango_6/Anthracnose\20211011_133407 (Custom).jpg,Anthracnose
53,mango_6/Anthracnose\20211011_133409 (Custom).jpg,Anthracnose
54,mango_6/Anthracnose\20211011_133412 (Custom).jpg,Anthracnose
55,mango_6/Anthracnose\20211011_133419 (Custom).jpg,Anthracnose
56,mango_6/Anthracnose\20211011_133423 (Custom).jpg,Anthracnose
57,mango_6/Anthracnose\20211011_133426 (Custom).jpg,Anthracnose
58,mango_6/Anthracnose\20211011_133430 (Custom).jpg,Anthracnose
59,mango_6/Anthracnose\20211011_133431 (Custom).jpg,Anthracnose
60,mango_6/Anthracnose\20211011_133436 (Custom).jpg,Anthracnose
61,mango_6/Anthracnose\20211011_133438 (Custom).jpg,Anthracnose
62,mango_6/Anthracnose\20211011_133745 (Custom).jpg,Anthracnose
63,mango_6/Anthracnose\20211011_133751 (Custom).jpg,Anthracnose
64,mango_6/Anthracnose\20211011_133757 (Custom).jpg,Anthracnose
65,mango_6/Anthracnose\20211011_133805 (Custom).jpg,Anthracnose
66,mango_6/Anthracnose\20211011_133809 (Custom).jpg,Anthracnose
67,mango_6/Anthracnose\20211011_133815 (Custom).jpg,Anthracnose
68,mango_6/Anthracnose\20211011_133956 (Custom).jpg,Anthracnose
69,mango_6/Anthracnose\20211011_134007 (Custom).jpg,Anthracnose
70,mango_6/Anthracnose\20211011_134012 (Custom).jpg,Anthracnose
71,mango_6/Anthracnose\20211011_134018 (Custom).jpg,Anthracnose
72,mango_6/Anthracnose\20211011_134021 (Custom).jpg,Anthracnose
73,mango_6/Anthracnose\20211011_134025 (Custom).jpg,Anthracnose
74,mango_6/Anthracnose\20211011_134057 (Custom).jpg,Anthracnose
75,mango_6/Anthracnose\20211011_134117 (Custom).jpg,Anthracnose
76,mango_6/Anthracnose\20211011_134125 (Custom).jpg,Anthracnose
77,mango_6/Anthracnose\20211011_134131 (Custom).jpg,Anthracnose
78,mango_6/Anthracnose\20211011_134403 (Custom).jpg,Anthracnose
79,mango_6/Anthracnose\20211011_134405 (Custom).jpg,Anthracnose
80,mango_6/Anthracnose\20211011_134413 (Custom).jpg,Anthracnose
81,mango_6/Anthracnose\20211011_134416 (Custom).jpg,Anthracnose
82,mango_6/Anthracnose\20211011_134420 (Custom).jpg,Anthracnose
83,mango_6/Anthracnose\20211011_134427 (Custom).jpg,Anthracnose
84,mango_6/Anthracnose\20211011_134439 (Custom).jpg,Anthracnose
85,mango_6/Anthracnose\20211011_134441 (Custom).jpg,Anthracnose
86,mango_6/Anthracnose\20211011_134537 (Custom).jpg,Anthracnose
87,mango_6/Anthracnose\20211011_134556 (Custom).jpg,Anthracnose
88,mango_6/Anthracnose\20211011_134558 (Custom).jpg,Anthracnose
89,mango_6/Anthracnose\20211011_134600 (Custom).jpg,Anthracnose
90,mango_6/Anthracnose\20211011_134607 (Custom).jpg,Anthracnose
91,mango_6/Anthracnose\20211011_134610 (Custom).jpg,Anthracnose
92,mango_6/Anthracnose\20211011_134612 (Custom).jpg,Anthracnose
93,mango_6/Anthracnose\20211011_134616 (Custom).jpg,Anthracnose
94,mango_6/Anthracnose\20211011_134623 (Custom).jpg,Anthracnose
95,mango_6/Anthracnose\20211011_134624 (Custom).jpg,Anthracnose
96,mango_6/Anthracnose\20211011_134626 (Custom).jpg,Anthracnose
97,mango_6/Anthracnose\20211011_134632 (Custom).jpg,Anthracnose
98,mango_6/Anthracnose\20211011_134634 (Custom).jpg,Anthracnose
99,mango_6/Anthracnose\20211011_134641 (Custom).jpg,Anthracnose
100,mango_6/Anthracnose\20211011_134644 (Custom).jpg,Anthracnose
101,mango_6/Anthracnose\20211011_134647 (Custom).jpg,Anthracnose
102,mango_6/Anthracnose\20211011_134649 (Custom).jpg,Anthracnose
103,mango_6/Anthracnose\20211011_134652 (Custom).jpg,Anthracnose
104,mango_6/Anthracnose\20211011_134655 (Custom).jpg,Anthracnose
105,mango_6/Anthracnose\20211011_134655(0) (Custom).jpg,Anthracnose
106,mango_6/Anthracnose\20211011_134659 (Custom).jpg,Anthracnose
107,mango_6/Anthracnose\20211011_134703 (Custom).jpg,Anthracnose
108,mango_6/Anthracnose\20211011_134707 (Custom).jpg,Anthracnose
109,mango_6/Anthracnose\20211011_134710 (Custom).jpg,Anthracnose
110,mango_6/Anthracnose\20211011_134713 (Custom).jpg,Anthracnose
111,mango_6/Anthracnose\20211011_134719 (Custom).jpg,Anthracnose
112,mango_6/Anthracnose\20211011_134722 (Custom).jpg,Anthracnose
113,mango_6/Anthracnose\20211011_134725 (Custom).jpg,Anthracnose
114,mango_6/Anthracnose\20211011_134729 (Custom).jpg,Anthracnose
115,mango_6/Anthracnose\20211011_134902 (Custom).jpg,Anthracnose
116,mango_6/Anthracnose\20211011_134904 (Custom).jpg,Anthracnose
117,mango_6/Anthracnose\20211011_134908 (Custom).jpg,Anthracnose
118,mango_6/Anthracnose\20211011_134909 (Custom).jpg,Anthracnose
119,mango_6/Anthracnose\20211011_134911 (Custom).jpg,Anthracnose
120,mango_6/Anthracnose\20211011_134912 (Custom).jpg,Anthracnose
121,mango_6/Anthracnose\20211011_160143 (Custom).jpg,Anthracnose
122,mango_6/Anthracnose\20211011_160144 (Custom).jpg,Anthracnose
123,mango_6/Anthracnose\20211011_160147 (Custom).jpg,Anthracnose
124,mango_6/Anthracnose\20211011_160149 (Custom).jpg,Anthracnose
125,mango_6/Anthracnose\20211011_160205 (Custom).jpg,Anthracnose
126,mango_6/Anthracnose\20211011_160206 (Custom).jpg,Anthracnose
127,mango_6/Anthracnose\20211011_164219 (Custom).jpg,Anthracnose
128,mango_6/Anthracnose\20211011_165842 (Custom).jpg,Anthracnose
129,mango_6/Anthracnose\20211011_165845 (Custom).jpg,Anthracnose
130,mango_6/Anthracnose\20211011_165847 (Custom).jpg,Anthracnose
131,mango_6/Anthracnose\20211011_165858 (Custom).jpg,Anthracnose
132,mango_6/Anthracnose\20211011_165901 (Custom).jpg,Anthracnose
133,mango_6/Anthracnose\20211011_165903 (Custom).jpg,Anthracnose
134,mango_6/Anthracnose\20211011_165905 (Custom).jpg,Anthracnose
135,mango_6/Anthracnose\20211011_165908 (Custom).jpg,Anthracnose
136,mango_6/Anthracnose\20211011_165910 (Custom).jpg,Anthracnose
137,mango_6/Anthracnose\20211011_165914 (Custom).jpg,Anthracnose
138,mango_6/Anthracnose\20211011_165916 (Custom).jpg,Anthracnose
139,mango_6/Anthracnose\20211011_165919 (Custom).jpg,Anthracnose
140,mango_6/Anthracnose\20211011_165922 (Custom).jpg,Anthracnose
141,mango_6/Anthracnose\20211011_165925 (Custom).jpg,Anthracnose
142,mango_6/Anthracnose\20211011_170700 (Custom).jpg,Anthracnose
143,mango_6/Anthracnose\20211011_170702 (Custom).jpg,Anthracnose
144,mango_6/Anthracnose\20211011_170703 (Custom).jpg,Anthracnose
145,mango_6/Anthracnose\20211011_170704 (Custom).jpg,Anthracnose
146,mango_6/Anthracnose\20211011_170706 (Custom).jpg,Anthracnose
147,mango_6/Anthracnose\20211011_170706 - Copy - Copy - Copy (Custom).jpg,Anthracnose
148,mango_6/Anthracnose\20211011_170708 (Custom).jpg,Anthracnose
149,mango_6/Anthracnose\20211011_170708 - Copy - Copy - Copy (Custom).jpg,Anthracnose
150,mango_6/Anthracnose\20211011_170709 (Custom).jpg,Anthracnose
151,mango_6/Anthracnose\20211011_170709 - Copy - Copy - Copy (Custom).jpg,Anthracnose
152,mango_6/Anthracnose\20211011_170712 (Custom).jpg,Anthracnose
153,mango_6/Anthracnose\20211011_170712 - Copy - Copy - Copy (Custom).jpg,Anthracnose
154,mango_6/Anthracnose\20211011_170714 (Custom).jpg,Anthracnose
155,mango_6/Anthracnose\20211011_170714 - Copy - Copy - Copy (Custom).jpg,Anthracnose
156,mango_6/Anthracnose\20211011_170717 (Custom).jpg,Anthracnose
157,mango_6/Anthracnose\20211011_170717 - Copy - Copy - Copy (Custom).jpg,Anthracnose
158,mango_6/Anthracnose\20211011_170718 (Custom).jpg,Anthracnose
159,mango_6/Anthracnose\20211011_170720 (Custom).jpg,Anthracnose
160,mango_6/Anthracnose\20211011_170723 (Custom).jpg,Anthracnose
161,mango_6/Anthracnose\20211011_170724 (Custom).jpg,Anthracnose
162,mango_6/Anthracnose\20211011_170725 (Custom).jpg,Anthracnose
163,mango_6/Anthracnose\20211011_170726 (Custom).jpg,Anthracnose
164,mango_6/Anthracnose\20211011_170816 - Copy - Copy - Copy (Custom).jpg,Anthracnose
165,mango_6/Anthracnose\20211011_170824 - Copy - Copy - Copy (Custom).jpg,Anthracnose
166,mango_6/Anthracnose\20211011_171136 - Copy - Copy - Copy (Custom).jpg,Anthracnose
167,mango_6/Anthracnose\20211011_171138 - Copy - Copy - Copy (Custom).jpg,Anthracnose
168,mango_6/Anthracnose\20211011_171141 (Custom).jpg,Anthracnose
169,mango_6/Anthracnose\20211011_171141 - Copy - Copy - Copy (Custom).jpg,Anthracnose
170,mango_6/Anthracnose\20211011_171145 - Copy - Copy - Copy (Custom).jpg,Anthracnose
171,mango_6/Anthracnose\20211011_171148 - Copy - Copy - Copy (Custom).jpg,Anthracnose
172,mango_6/Anthracnose\20211011_171151 - Copy - Copy - Copy (Custom).jpg,Anthracnose
173,mango_6/Anthracnose\20211011_171153 - Copy - Copy - Copy (Custom).jpg,Anthracnose
174,mango_6/Anthracnose\20211011_171156 - Copy - Copy - Copy (Custom).jpg,Anthracnose
175,mango_6/Anthracnose\20211011_171159 - Copy - Copy - Copy (Custom).jpg,Anthracnose
176,mango_6/Anthracnose\20211011_171202 - Copy - Copy - Copy (Custom).jpg,Anthracnose
177,mango_6/Anthracnose\IMG_20211008_113726 (Custom).jpg,Anthracnose
178,mango_6/Anthracnose\IMG_20211008_113736 (Custom).jpg,Anthracnose
179,mango_6/Anthracnose\IMG_20211011_133554 (Custom).jpg,Anthracnose
180,mango_6/Anthracnose\IMG_20211011_133632 (Custom).jpg,Anthracnose
181,mango_6/Anthracnose\IMG_20211011_133637 (Custom).jpg,Anthracnose
182,mango_6/Anthracnose\IMG_20211011_134506 (Custom).jpg,Anthracnose
183,mango_6/Anthracnose\IMG_20211011_134654 (Custom).jpg,Anthracnose
184,mango_6/Anthracnose\IMG_20211011_134708 (Custom).jpg,Anthracnose
185,mango_6/Anthracnose\IMG_20211011_140300 (Custom).jpg,Anthracnose
186,mango_6/Anthracnose\IMG_20211011_140304 (Custom).jpg,Anthracnose
187,mango_6/Anthracnose\IMG_20211011_140304 - Copy (Custom).jpg,Anthracnose
188,mango_6/Anthracnose\IMG_20211011_140309 (Custom).jpg,Anthracnose
189,mango_6/Anthracnose\IMG_20211011_140313 (Custom).jpg,Anthracnose
190,mango_6/Anthracnose\IMG_20211011_140316 (Custom).jpg,Anthracnose
191,mango_6/Anthracnose\IMG_20211011_140320 (Custom).jpg,Anthracnose
192,mango_6/Anthracnose\IMG_20211011_140324 (Custom).jpg,Anthracnose
193,mango_6/Anthracnose\IMG_20211011_140327 (Custom).jpg,Anthracnose
194,mango_6/Anthracnose\IMG_20211011_140329 (Custom).jpg,Anthracnose
195,mango_6/Anthracnose\IMG_20211011_140338 (Custom).jpg,Anthracnose
196,mango_6/Anthracnose\IMG_20211011_140342 (Custom).jpg,Anthracnose
197,mango_6/Anthracnose\IMG_20211011_140344 (Custom).jpg,Anthracnose
198,mango_6/Anthracnose\IMG_20211011_140350 (Custom).jpg,Anthracnose
199,mango_6/Anthracnose\IMG_20211011_140354 (Custom).jpg,Anthracnose
200,mango_6/Anthracnose\IMG_20211011_140405 (Custom).jpg,Anthracnose
201,mango_6/Anthracnose\IMG_20211011_140409 (Custom).jpg,Anthracnose
202,mango_6/Anthracnose\IMG_20211011_140417 (Custom).jpg,Anthracnose
203,mango_6/Anthracnose\IMG_20211011_140420 (Custom).jpg,Anthracnose
204,mango_6/Anthracnose\IMG_20211011_140424 (Custom).jpg,Anthracnose
205,mango_6/Anthracnose\IMG_20211011_140429 (Custom).jpg,Anthracnose
206,mango_6/Anthracnose\IMG_20211011_140433 (Custom).jpg,Anthracnose
207,mango_6/Anthracnose\IMG_20211011_140437 (Custom).jpg,Anthracnose
208,mango_6/Anthracnose\IMG_20211011_140440 (Custom).jpg,Anthracnose
209,mango_6/Anthracnose\IMG_20211011_140445 (Custom).jpg,Anthracnose
210,mango_6/Anthracnose\IMG_20211011_140448 (Custom).jpg,Anthracnose
